"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2004-001","2004-001-01","2004-001-01-01","2004-001-01-01-01",11/9/2004,1,"543 U.S. 1","125 S. Ct. 377","160 L. Ed. 2d 271","2004 U.S. LEXIS 7511",2004,1607,"Rehnquist","03-583","JOSUE LEOCAL v. JOHN D. ASHCROFT, ATTORNEY GENERAL, et al.",10/12/2004,,106,,1,,1,7,,0,31,,31,,0,2,9,1,1,4,0,1,0,0,20110,2,2,0,4,,3,339,,102,102,1,9,0
"2004-002","2004-002-01","2004-002-01-01","2004-002-01-01-01",11/9/2004,1,"543 U.S. 14","125 S. Ct. 385","160 L. Ed. 2d 283","2004 U.S. LEXIS 7510",2004,1607,"Rehnquist","02-1028","NORFOLK SOUTHERN RAILWAY COMPANY v. JAMES N. KIRBY, PTY LTD., DBA KIRBY ENGINEERING, AND ALLIANZ AUSTRALIA INSURANCE LIMITED",10/6/2004,,231,,184,,1,,,0,60,,31,,1,11,3,2,1,4,0,1,0,0,80070,8,1,0,7,,,,,104,102,1,9,0
"2004-003","2004-003-01","2004-003-01-01","2004-003-01-01-01",11/15/2004,2,"543 U.S. 37","125 S. Ct. 400","160 L. Ed. 2d 303","2004 U.S. LEXIS 7668",2004,1607,"Rehnquist","04-5323","LAROYCE LATHAIR SMITH v. TEXAS",,,126,,28,51,1,,,0,302,51,300,51,0,12,2,1,1,4,0,1,0,0,10130,1,2,0,2,7,2,221,,,,1,7,2
"2004-004","2004-004-01","2004-004-01-01","2004-004-01-01-01",11/30/2004,1,"543 U.S. 50","125 S. Ct. 460","160 L. Ed. 2d 389","2004 U.S. LEXIS 7979",2004,1607,"Rehnquist","03-377","KOONS BUICK PONTIAC GMC, INC. v. BRADLEY NIGH",10/5/2004,,125,,123,,1,,,0,126,,24,,1,2,2,2,1,4,0,1,0,0,80170,8,1,0,4,,3,373,,109,102,1,8,1
"2004-005","2004-005-01","2004-005-01-01","2004-005-01-01-01",12/6/2004,2,"543 U.S. 77","125 S. Ct. 521","160 L. Ed. 2d 410","2004 U.S. LEXIS 8165",2004,1607,"Rehnquist","03-1669","CITY OF SAN DIEGO, CALIFORNIA et al. v. JOHN ROE",,,3,6,8,6,1,,,0,51,,29,,0,12,4,2,1,3,0,1,0,0,30010,3,1,0,2,,2,200,,,,1,9,0
"2004-006","2004-006-01","2004-006-01-01","2004-006-01-01-01",12/7/2004,1,"543 U.S. 86","125 S. Ct. 526","160 L. Ed. 2d 418","2004 U.S. LEXIS 8168",2004,1607,"Rehnquist","105 ORIG","STATE OF KANSAS v. STATE OF COLORADO",10/4/2004,,28,20,28,7,9,,,0,,,,,0,,,3,1,,0,0,0,0,110020,11,3,0,4,,6,600,"63 Stat. 145",110,102,1,8,1
"2004-007","2004-007-01","2004-007-01-01","2004-007-01-01-01",12/8/2004,1,"543 U.S. 111","125 S. Ct. 542","160 L. Ed. 2d 440","2004 U.S. LEXIS 8170",2004,1607,"Rehnquist","03-409","KP PERMANENT MAKE-UP, INC. v. LASTING IMPRESSION I, INC., et al.",10/5/2004,,184,,172,,1,,,0,48,,29,,0,2,4,1,1,5,0,1,0,0,80200,8,2,0,4,,6,600,"15 U.S.C. § 1115",107,102,1,9,0
"2004-008","2004-008-01","2004-008-01-01","2004-008-01-01-01",12/13/2004,1,"543 U.S. 125","125 S. Ct. 564","160 L. Ed. 2d 519","2004 U.S. LEXIS 8273",2004,1607,"Rehnquist","03-407","JOHN F. KOWALSKI, JUDGE, 26TH JUDICIAL CIRCUIT COURT OF MICHIGAN, et al. v. JOHN C. TESMER, et al.",10/4/2004,,16,27,111,,1,,,0,81,,26,,1,12,3,2,1,4,0,1,0,0,90240,9,1,0,1,,1,139,,102,102,1,6,3
"2004-009","2004-009-01","2004-009-01-01","2004-009-01-01-01",12/13/2004,1,"543 U.S. 146","125 S. Ct. 588","160 L. Ed. 2d 537","2004 U.S. LEXIS 8272",2004,1607,"Rehnquist","03-710","GERALD DEVENPECK, et al. v. JEROME ANTHONY ALFORD",11/8/2004,,8,56,100,,1,,,0,,,29,,1,12,4,2,1,4,0,1,0,0,10050,1,1,0,2,,2,205,,105,103,1,8,0
"2004-010","2004-010-01","2004-010-01-01","2004-010-01-01-01",12/13/2004,1,"543 U.S. 157","125 S. Ct. 577","160 L. Ed. 2d 548","2004 U.S. LEXIS 8271",2004,1607,"Rehnquist","02-1192","COOPER INDUSTRIES, INC. v. AVIALL SERVICES, INC.",10/6/2004,,184,,122,,1,,,0,120,,25,,1,12,4,2,1,4,0,1,0,0,80130,8,1,0,4,,6,600,"42 U.S.C. § 9613",108,102,1,7,2
"2004-011","2004-011-01","2004-011-01-01","2004-011-01-01-01",12/13/2004,1,"543 U.S. 175","125 S. Ct. 551","160 L. Ed. 2d 565","2004 U.S. LEXIS 8270",2004,1607,"Rehnquist","03-931","FLORIDA v. JOE ELTON NIXON",11/2/2004,,28,12,126,,1,,,0,302,12,300,12,1,10,4,2,1,4,0,1,0,0,10120,1,1,0,7,3,2,221,,110,103,1,8,0
"2004-012","2004-012-01","2004-012-01-01","2004-012-01-01-01",12/13/2004,2,"543 U.S. 194","125 S. Ct. 596","160 L. Ed. 2d 583","2004 U.S. LEXIS 8275",2004,1607,"Rehnquist","03-1261","ROCHELLE BROSSEAU v. KENNETH J. HAUGEN",,,9,56,208,,1,,,0,129,,29,,0,12,4,2,1,4,0,1,0,0,80060,8,2,0,7,,,,"NA",,102,1,8,1
"2004-013","2004-013-01","2004-013-01-01","2004-013-01-01-01",1/11/2005,1,"543 U.S. 209","125 S. Ct. 687","160 L. Ed. 2d 611","2005 U.S. LEXIS 625",2004,1607,"Rehnquist","03-1293","DAVID WHITFIELD v. UNITED STATES",11/30/2004,,100,,27,,1,,,0,,,31,,0,,2,1,1,2,0,0,0,0,10400,1,1,0,4,,6,600,"18 U.S.C. § 1956",104,102,1,9,0
"2004-014","2004-014-01","2004-014-01-01","2004-014-01-01-01",1/12/2005,1,"543 U.S. 220","125 S. Ct. 738","160 L. Ed. 2d 621","2005 U.S. LEXIS 628",2004,1607,"Rehnquist","04-104","UNITED STATES v. FREDDIE J. BOOKER",10/4/2004,,27,,100,,1,,,0,,,27,,1,12,4,1,2,2,0,0,0,0,10560,1,2,0,1,,6,600,"18 U.S.C.",110,102,1,5,4
"2004-015","2004-015-01","2004-015-01-01","2004-015-01-01-01",1/12/2005,1,"543 U.S. 335","125 S. Ct. 694","160 L. Ed. 2d 708","2005 U.S. LEXIS 626",2004,1607,"Rehnquist","03-674","KEYSE G. JAMA v. IMMIGRATION AND CUSTOMS ENFORCEMENT",10/12/2004,,106,,368,,1,7,,0,83,,28,,0,12,4,1,1,2,0,0,0,0,20110,2,1,0,4,,6,600,"8 U.S.C. § 1231",105,102,1,5,4
"2004-016","2004-016-01","2004-016-01-01","2004-016-01-01-01",1/12/2005,1,"543 U.S. 371","125 S. Ct. 716","160 L. Ed. 2d 734","2005 U.S. LEXIS 627",2004,1607,"Rehnquist","03-878","A. NEIL CLARK, FIELD OFFICE DIRECTOR, SEATTLE, WASHINGTON, IMMIGRATION AND CUSTOMS ENFORCEMENT, et al. v. SERGIO SUAREZ MARTINEZ",10/13/2004,,368,,106,,1,68,,0,108,,29,,0,2,2,2,1,2,0,0,0,0,20110,2,2,0,4,,6,600,"8 U.S.C. § 1231",105,103,1,7,2
"2004-017","2004-017-01","2004-017-01-01","2004-017-01-01-01",1/24/2005,1,"543 U.S. 405","125 S. Ct. 834","160 L. Ed. 2d 842","2005 U.S. LEXIS 769",2004,1607,"Rehnquist","03-923","ILLINOIS v. ROY I. CABALLES",11/10/2004,,28,17,100,,1,,,0,302,17,300,17,0,12,3,2,1,5,0,1,0,0,10060,1,1,0,2,,2,205,,103,103,1,6,2
"2004-018","2004-018-01","2004-018-01-01","2004-018-01-01-01",1/24/2005,1,"543 U.S. 426","125 S. Ct. 826","160 L. Ed. 2d 859","2005 U.S. LEXIS 1370",2004,1607,"Rehnquist","03-892","COMMISSIONER OF INTERNAL REVENUE v. JOHN W. BANKS, II",11/1/2004,,369,,240,,1,69,,0,9,,26,,0,2,3,1,1,4,0,1,0,0,120010,12,2,0,4,,3,345,,106,103,1,8,0
"2004-019","2004-019-01","2004-019-01-01","2004-019-01-01-01",1/24/2005,6,"543 U.S. 440","125 S. Ct. 856","160 L. Ed. 2d 873","2005 U.S. LEXIS 1371",2004,1607,"Rehnquist","03-9560","MARLON LATODD HOWELL, AKA MARLON COX v. MISSISSIPPI",11/29/2004,,100,,28,29,1,,,0,302,29,300,29,0,11,2,1,1,9,0,0,0,0,90150,9,1,0,7,4,6,600,"28 U.S.C. § 1257",,,1,9,0
"2004-020","2004-020-01","2004-020-01-01","2004-020-01-01-01",1/24/2005,2,"543 U.S. 447","125 S. Ct. 847","160 L. Ed. 2d 881","2005 U.S. LEXIS 1369",2004,1607,"Rehnquist","04-394","RICKY BELL, WARDEN v. GARY BRADFORD CONE",,,28,50,100,,1,,,0,118,,26,,1,12,2,1,1,4,0,1,0,0,90040,9,1,0,7,3,3,341,,,,1,9,0
"2004-021","2004-021-01","2004-021-01-01","2004-021-01-01-01",2/22/2005,1,"543 U.S. 462","125 S. Ct. 1129","160 L. Ed. 2d 914","2005 U.S. LEXIS 1398",2004,1607,"Rehnquist","03-8661","MELVIN T. SMITH v. MASSACHUSETTS",12/1/2004,,100,,28,26,1,,,0,302,26,300,26,0,12,2,1,1,4,0,1,0,0,10170,1,2,0,2,,2,206,,105,103,1,5,4
"2004-022","2004-022-01","2004-022-01-01","2004-022-01-01-01",2/22/2005,1,"543 U.S. 481","125 S. Ct. 1118","160 L. Ed. 2d 932","2005 U.S. LEXIS 1397",2004,1607,"Rehnquist","03-814","WILLARD STEWART v. DUTRA CONSTRUCTION COMPANY",11/1/2004,,145,,176,,1,,,0,80,,21,,0,7,2,1,1,4,0,1,0,0,80050,8,2,0,4,,3,349,,108,103,1,8,0
"2004-023","2004-023-01","2004-023-01-01","2004-023-01-01-01",2/23/2005,1,"543 U.S. 499","125 S. Ct. 1141","160 L. Ed. 2d 949","2005 U.S. LEXIS 2007",2004,1607,"Rehnquist","03-636","GARRISON S. JOHNSON v. CALIFORNIA et al.",11/2/2004,,215,,28,6,1,,,0,48,,29,,1,11,2,1,1,4,0,1,0,0,20040,2,2,0,7,2,2,231,,104,104,1,6,2
"2004-024","2004-024-01","2004-024-01-01","2004-024-01-01-01",3/1/2005,1,"543 U.S. 551","125 S. Ct. 1183","161 L. Ed. 2d 1","2005 U.S. LEXIS 2200",2004,1607,"Rehnquist","03-633","DONALD P. ROPER, SUPERINTENDENT, POTOSI CORRECTIONAL CENTER v. CHRISTOPHER SIMMONS",10/13/2004,,28,30,126,,1,,,0,302,30,300,30,0,12,12,2,3,2,0,0,1,0,10130,1,2,0,3,2,2,221,,106,103,1,5,4
"2004-025","2004-025-01","2004-025-01-01","2004-025-01-01-01",3/1/2005,1,"543 U.S. 631","125 S. Ct. 1172","161 L. Ed. 2d 66","2005 U.S. LEXIS 2199",2004,1607,"Rehnquist","02-1472","CHEROKEE NATION OF OKLAHOMA AND SHOSHONE-PAIUTE TRIBES OF THE DUCK VALLEY RESERVATION v. MICHAEL O. LEAVITT, SECRETARY OF HEALTH AND HUMAN SERVICES, et al.",11/9/2004,,170,,363,,1,26,,0,105,,30,,0,2,2,1,1,2,0,1,0,0,20160,2,2,0,4,,6,600,"25 U.S.C. § 450",110,103,1,8,0
"2004-026","2004-026-01","2004-026-01-01","2004-026-01-01-01",3/2/2005,1,"544 U.S. 1","125 S. Ct. 1230","161 L. Ed. 2d 82","2005 U.S. LEXIS 2202",2004,1607,"Rehnquist","03-1395","GEORGE J. TENET, INDIVIDUALLY, PORTER J. GOSS, DIRECTOR OF CENTRAL INTELLIGENCE AND DIRECTOR OF THE CENTRAL INTELLIGENCE AGENCY, AND UNITED STATES v. JOHN DOE, ET UX.",1/11/2005,,314,,174,,1,,,0,129,,29,,1,12,2,2,1,3,0,1,0,0,80060,8,2,0,7,,,,"NA",102,102,1,9,0
"2004-027","2004-027-01","2004-027-01-01","2004-027-01-01-01",3/7/2005,1,"544 U.S. 13","125 S. Ct. 1254","161 L. Ed. 2d 205","2005 U.S. LEXIS 2205",2004,1607,"Rehnquist","03-9168","REGINALD SHEPARD v. UNITED STATES",11/8/2004,,126,,27,,1,,,0,80,,21,,0,2,5,1,1,4,0,1,0,0,10560,1,2,0,4,7,6,600,"18 U.S.C. § 924",107,103,1,5,3
"2004-028","2004-028-01","2004-028-01-01","2004-028-01-01-01",3/7/2005,1,"544 U.S. 40","125 S. Ct. 1270","161 L. Ed. 2d 227","2005 U.S. LEXIS 2403",2004,1607,"Rehnquist","03-184","CLAUDE M. BALLARD, ET UX. v. COMMISSIONER OF INTERNAL REVENUE",12/7/2004,,240,,369,,1,69,,0,9,,31,,0,11,2,2,1,4,0,1,0,0,90120,9,2,0,3,5,3,345,,109,103,1,7,2
"2004-029","2004-029-01","2004-029-01-01","2004-029-01-01-01",3/7/2005,1,"544 U.S. 74","125 S. Ct. 1242","161 L. Ed. 2d 253","2005 U.S. LEXIS 2204",2004,1607,"Rehnquist","03-287","REGINALD A. WILKINSON, DIRECTOR, OHIO DEPARTMENT OF REHABILITATION AND CORRECTION, et al. v. WILLIAM DWIGHT DOTSON, et al.",12/6/2004,,7,41,215,,1,,,0,103,,26,,0,12,3,2,1,2,0,0,0,0,10020,1,2,0,7,4,3,314,,110,102,1,8,1
"2004-030","2004-030-01","2004-030-01-01","2004-030-01-01-01",3/22/2005,1,"544 U.S. 93","125 S. Ct. 1465","161 L. Ed. 2d 299","2005 U.S. LEXIS 2755",2004,1607,"Rehnquist","03-1423","DARIN L. MUEHLER, et al. v. IRIS MENA",12/8/2004,,19,6,106,,1,,,0,48,,29,,0,12,2,2,1,5,0,1,0,0,10050,1,1,0,7,2,2,205,,102,102,1,9,0
"2004-031","2004-031-01","2004-031-01-01","2004-031-01-01-01",3/22/2005,1,"544 U.S. 113","125 S. Ct. 1453","161 L. Ed. 2d 316","2005 U.S. LEXIS 2754",2004,1607,"Rehnquist","03-1601","CITY OF RANCHO PALOS VERDES, CALIFORNIA, et al. v. MARK J. ABRAMS",1/19/2005,,3,6,195,,1,117,6,0,48,,29,,0,12,4,2,1,4,0,1,0,0,20400,2,1,0,4,,3,314,,105,102,1,9,0
"2004-032","2004-032-01","2004-032-01-01","2004-032-01-01-01",3/22/2005,1,"544 U.S. 133","125 S. Ct. 1432","161 L. Ed. 2d 334","2005 U.S. LEXIS 2753",2004,1607,"Rehnquist","03-1039","JILL L. BROWN, WARDEN v. WILLIAM CHARLES PAYTON",11/10/2004,,28,6,126,,1,,,0,48,,29,,1,11,2,2,1,5,0,1,0,0,10130,1,1,0,7,4,3,341,,106,104,1,5,3
"2004-033","2004-033-01","2004-033-01-01","2004-033-01-01-01",3/29/2005,1,"544 U.S. 167","125 S. Ct. 1497","161 L. Ed. 2d 361","2005 U.S. LEXIS 2928",2004,1607,"Rehnquist","02-1672","RODERICK JACKSON v. BIRMINGHAM BOARD OF EDUCATION",11/30/2004,,10,1,21,1,1,,,0,42,,31,,0,2,2,1,1,4,0,1,0,0,20130,2,2,0,4,,3,322,,104,103,1,5,4
"2004-034","2004-034-01","2004-034-01-01","2004-034-01-01-01",3/29/2005,1,"544 U.S. 197","125 S. Ct. 1478","161 L. Ed. 2d 386","2005 U.S. LEXIS 2927",2004,1607,"Rehnquist","03-855","CITY OF SHERRILL, NEW YORK v. ONEIDA INDIAN NATION OF NEW YORK, et al.",1/11/2005,,3,37,170,,1,67,,0,95,,22,,1,12,2,2,1,4,0,1,0,0,20160,2,1,0,7,,,,,109,102,1,8,1
"2004-035","2004-035-01","2004-035-01-01","2004-035-01-01-01",3/30/2005,1,"544 U.S. 228","125 S. Ct. 1536","161 L. Ed. 2d 410","2005 U.S. LEXIS 2931",2004,1607,"Rehnquist","03-1160","AZEL P. SMITH, et al. v. CITY OF JACKSON, MISSISSIPPI, et al.",11/3/2004,,8,29,3,29,1,,,0,85,,25,,1,12,2,2,1,2,0,0,0,0,20060,2,2,0,7,4,3,302,,103,103,1,5,3
"2004-036","2004-036-01","2004-036-01-01","2004-036-01-01-01",3/30/2005,1,"544 U.S. 269","125 S. Ct. 1528","161 L. Ed. 2d 440","2005 U.S. LEXIS 2930",2004,1607,"Rehnquist","03-9046","CHARLES RUSSELL RHINES v. DOUGLAS WEBER, WARDEN",1/12/2005,,126,,28,49,1,,,0,115,,28,,0,2,5,1,1,5,0,1,0,0,10020,1,2,0,4,,3,341,,104,102,1,9,0
"2004-037","2004-037-01","2004-037-01-01","2004-037-01-01-01",3/30/2005,1,"544 U.S. 280","125 S. Ct. 1517","161 L. Ed. 2d 454","2005 U.S. LEXIS 2929",2004,1607,"Rehnquist","03-1696","EXXON MOBIL CORPORATION, EXXON CHEMICAL ARABIA, INC., AND MOBIL YANBU PETROCHEMICAL COMPANY, INC. v. SAUDI BASIC INDUSTRIES CORPORATION",2/23/2005,,198,,159,,1,,,0,92,,23,,0,2,9,1,1,4,0,1,0,0,90320,9,2,0,7,,,,,109,102,1,9,0
"2004-038","2004-038-01","2004-038-01-01","2004-038-01-01-01",4/4/2005,1,"544 U.S. 295","125 S. Ct. 1571","161 L. Ed. 2d 542","2005 U.S. LEXIS 2934",2004,1607,"Rehnquist","03-9685","ROBERT JOHNSON, JR. v. UNITED STATES",1/18/2005,,126,,27,,1,,,0,59,,31,,1,2,2,1,1,2,0,0,0,0,90480,9,1,0,4,,3,341,,107,102,1,5,4
"2004-039","2004-039-01","2004-039-01-01","2004-039-01-01-01",4/4/2005,1,"544 U.S. 320","125 S. Ct. 1561","161 L. Ed. 2d 563","2005 U.S. LEXIS 2933",2004,1607,"Rehnquist","03-1407","RICHARD GERALD ROUSEY, ET UX. v. JILL R. JACOWAY",12/1/2004,,114,,135,,1,,,0,47,,28,,0,2,2,1,1,4,0,1,0,0,80030,8,2,0,4,,3,307,,108,102,1,9,0
"2004-040","2004-040-01","2004-040-01-01","2004-040-01-01-01",4/19/2005,1,"544 U.S. 336","125 S. Ct. 1627","161 L. Ed. 2d 577","2005 U.S. LEXIS 3478",2004,1607,"Rehnquist","03-932","DURA PHARMACEUTICALS, INC., et al. v. MICHAEL BROUDO et al.",1/12/2005,,122,,173,,1,,,0,51,,29,,0,2,4,2,1,4,0,1,0,0,80120,8,1,0,4,5,3,365,,110,102,1,9,0
"2004-041","2004-041-01","2004-041-01-01","2004-041-01-01-01",4/26/2005,1,"544 U.S. 349","125 S. Ct. 1766","161 L. Ed. 2d 619","2005 U.S. LEXIS 3701",2004,1607,"Rehnquist","03-725","DAVID B. PASQUANTINO, CARL J. PASQUANTINO, AND ARTHUR HILTS v. UNITED STATES",11/9/2004,,126,,27,,1,,,0,79,,24,,1,2,2,1,1,2,0,0,0,0,10450,1,1,0,4,,6,600,"18 U.S.C. § 1343",108,102,1,5,4
"2004-042","2004-042-01","2004-042-01-01","2004-042-01-01-01",4/26/2005,1,"544 U.S. 385","125 S. Ct. 1752","161 L. Ed. 2d 651","2005 U.S. LEXIS 3700",2004,1607,"Rehnquist","03-750","GARY SHERWOOD SMALL v. UNITED STATES",11/3/2004,,100,,27,,1,,,0,111,,23,,0,2,2,1,1,4,0,1,0,0,10440,1,2,0,4,,6,600,"18 U.S.C. § 922",110,103,1,5,3
"2004-043","2004-043-01","2004-043-01-01","2004-043-01-01-01",4/27/2005,1,"544 U.S. 408","125 S. Ct. 1807","161 L. Ed. 2d 669","2005 U.S. LEXIS 3705",2004,1607,"Rehnquist","03-9627","JOHN A. PACE v. DAVID DIGUGLIELMO, SUPERINTENDENT, STATE CORRECTIONAL INSTITUTION AT GRATERFORD, et al.",2/28/2005,,215,,28,45,1,,,0,109,,23,,0,2,3,1,1,2,0,0,0,0,90480,9,1,0,4,,3,341,,102,102,1,5,4
"2004-044","2004-044-01","2004-044-01-01","2004-044-01-01-01",4/27/2005,1,"544 U.S. 431","125 S. Ct. 1788","161 L. Ed. 2d 687","2005 U.S. LEXIS 3706",2004,1607,"Rehnquist","03-388","DENNIS BATES, et al. v. DOW AGROSCIENCES LLC",1/10/2005,,152,,128,,1,,,0,120,,25,,0,5,2,2,1,5,0,1,0,0,100020,10,1,0,7,4,3,333,,103,102,1,7,2
"2004-045","2004-045-01","2004-045-01-01","2004-045-01-01-01",5/16/2005,1,"544 U.S. 460","125 S. Ct. 1885","161 L. Ed. 2d 796","2005 U.S. LEXIS 4174",2004,1607,"Rehnquist","03-1116","JENNIFER M. GRANHOLM, GOVERNOR OF MICHIGAN, et al. v. ELEANOR HEALD, et al.",12/7/2004,,211,,134,,1,,,0,81,,26,,0,11,2,2,3,2,0,0,0,0,80110,8,2,0,2,,1,111,,106,105,1,5,4
"2004-046","2004-046-01","2004-046-01-01","2004-046-01-01-01",5/23/2005,1,"544 U.S. 528","125 S. Ct. 2074","161 L. Ed. 2d 876","2005 U.S. LEXIS 4342",2004,1607,"Rehnquist","04-163","LINDA LINGLE, GOVERNOR OF HAWAII, et al. v. CHEVRON U.S.A. INC.",2/22/2005,,211,,198,,1,,,0,63,,29,,1,12,2,1,1,4,0,1,0,0,40070,4,2,0,2,,2,211,,104,102,1,9,0
"2004-047","2004-047-01","2004-047-01-01","2004-047-01-01-01",5/23/2005,1,"544 U.S. 550","125 S. Ct. 2055","161 L. Ed. 2d 896","2005 U.S. LEXIS 4343",2004,1607,"Rehnquist","03-1164","MIKE JOHANNS, SECRETARY OF AGRICULTURE, et al., v. LIVESTOCK MARKETING ASSOCIATION et al.",12/8/2004,,304,,152,,1,4,,0,115,,28,,0,12,2,2,1,5,0,1,0,0,30020,3,1,0,1,,2,200,,105,102,1,6,3
"2004-048","2004-048-01","2004-048-01-01","2004-048-01-01-01",5/23/2005,1,"544 U.S. 581","125 S. Ct. 2029","161 L. Ed. 2d 920","2005 U.S. LEXIS 4181",2004,1607,"Rehnquist","04-37","MICHAEL CLINGMAN, SECRETARY, OKLAHOMA STATE ELECTION BOARD, et al. v. ANDREA L. BEAVER et al.",1/19/2005,,4,42,251,,1,117,42,0,107,,30,,0,11,3,2,1,4,0,1,0,0,30010,3,1,0,2,,2,200,,108,102,1,6,3
"2004-049","2004-049-01","2004-049-01-01","2004-049-01-01-01",5/23/2005,1,"544 U.S. 622","125 S. Ct. 2007","161 L. Ed. 2d 953","2005 U.S. LEXIS 4180",2004,1607,"Rehnquist","04-5293","CARMAN L. DECK v. MISSOURI",3/1/2005,,100,,28,30,1,,,0,302,30,300,30,0,11,2,1,1,4,0,1,0,0,40010,4,2,0,2,7,2,230,,110,102,1,7,2
"2004-050","2004-050-01","2004-050-01-01","2004-050-01-01-01",5/23/2005,6,"544 U.S. 660","125 S. Ct. 2088","161 L. Ed. 2d 982","2005 U.S. LEXIS 4344",2004,1607,"Rehnquist","04-5928","JOSE ERNESTO MEDELLIN v. DOUG DRETKE, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION",3/28/2005,,100,,28,51,1,,,0,302,51,25,,0,11,2,1,1,9,0,0,0,0,90150,9,1,0,3,,,,,,102,1,5,4
"2004-051","2004-051-01","2004-051-01-01","2004-051-01-01-01",5/31/2005,1,"544 U.S. 696","125 S. Ct. 2129","161 L. Ed. 2d 1008","2005 U.S. LEXIS 4348",2004,1607,"Rehnquist","04-368","ARTHUR ANDERSEN LLP v. UNITED STATES",4/27/2005,,216,,27,,1,,,0,121,,25,,0,2,2,1,1,4,0,1,0,0,10220,1,2,0,4,,6,600,"18 U.S.C. § 1512",102,102,1,9,0
"2004-052","2004-052-01","2004-052-01-01","2004-052-01-01-01",5/31/2005,1,"544 U.S. 709","125 S. Ct. 2113","161 L. Ed. 2d 1020","2005 U.S. LEXIS 4346",2004,1607,"Rehnquist","03-9877","JON B. CUTTER, et al. v. REGINALD WILKINSON, DIRECTOR, OHIO DEPARTMENT OF REHABILITATION AND CORRECTION, et al.",3/21/2005,,215,,7,41,1,,,0,104,,26,,0,2,4,1,1,4,0,1,0,0,30170,3,2,0,2,,6,600,"42 U.S.C. § 2000",109,102,1,9,0
"2004-053","2004-053-01","2004-053-01-01","2004-053-01-01-01",5/31/2005,1,"544 U.S. 734","125 S. Ct. 2108","161 L. Ed. 2d 1042","2005 U.S. LEXIS 4347",2004,1607,"Rehnquist","03-1488","ULYSSES TORY, et al. v. JOHNNIE L. COCHRAN, JR.",3/22/2005,,214,,111,,1,,,0,302,6,301,6,0,12,2,1,1,5,0,1,0,0,30030,3,2,0,2,,2,200,,110,102,1,7,2
"2004-054","2004-054-01","2004-054-01-01","2004-054-01-01-01",6/6/2005,1,"545 U.S. 1","125 S. Ct. 2195","162 L. Ed. 2d 1","2005 U.S. LEXIS 4656",2004,1607,"Rehnquist","03-1454","ALBERTO R. GONZALES, ATTORNEY GENERAL, et al. v. ANGEL MCCLARY RAICH et al.",11/29/2004,,1,,208,,1,,,0,50,,29,,1,10,3,2,1,5,0,1,0,0,100050,10,2,0,1,,6,600,"21 U.S.C. § 801",103,103,1,6,3
"2004-055","2004-055-01","2004-055-01-01","2004-055-01-01-01",6/6/2005,1,"545 U.S. 75","125 S. Ct. 2137","162 L. Ed. 2d 57","2005 U.S. LEXIS 4654",2004,1607,"Rehnquist","128 ORIG","STATE OF ALASKA v. UNITED STATES OF AMERICA",1/10/2005,,28,2,27,,9,,,0,,,,,0,,,3,1,,0,0,0,0,100040,10,2,0,4,7,3,368,"NA",106,103,1,6,3
"2004-056","2004-056-01","2004-056-01-01","2004-056-01-01-01",6/6/2005,1,"545 U.S. 119","125 S. Ct. 2169","162 L. Ed. 2d 97","2005 U.S. LEXIS 4655",2004,1607,"Rehnquist","03-1388","DOUGLAS SPECTOR, et al. v. NORWEGIAN CRUISE LINE LTD.",2/28/2005,,140,,116,,1,,,0,121,,25,,0,2,6,1,1,4,0,1,0,0,20210,2,2,0,4,7,3,300,,106,103,1,6,3
"2004-057","2004-057-01","2004-057-01-01","2004-057-01-01-01",6/13/2005,1,"545 U.S. 162","125 S. Ct. 2410","162 L. Ed. 2d 129","2005 U.S. LEXIS 4842",2004,1607,"Rehnquist","04-6964","JAY SHAWN JOHNSON v. CALIFORNIA",4/18/2005,,100,,28,6,1,,,0,302,6,300,6,1,12,4,1,1,4,0,1,0,0,20040,2,2,0,7,,2,231,,103,102,1,8,1
"2004-058","2004-058-01","2004-058-01-01","2004-058-01-01-01",6/13/2005,1,"545 U.S. 175","125 S. Ct. 2398","162 L. Ed. 2d 143","2005 U.S. LEXIS 4841",2004,1607,"Rehnquist","04-637","MARGARET BRADSHAW, WARDEN v. JOHN DAVID STUMPF",4/19/2005,,28,41,126,,1,,,0,104,,26,,1,11,3,2,1,7,0,1,0,0,10030,1,1,0,2,,2,230,,104,102,1,9,0
